,Date,Open,High,Low,Close,Adj Close,Volume,rsi,crossAbove30,lookback10
90,4/23/1981,0.522321,0.524554,0.522321,0.522321,0.414838,14504000,56.019763619303895,0,0
91,4/24/1981,0.522321,0.522321,0.517857,0.517857,0.411293,8764000,57.23799243949222,0,0
92,4/27/1981,0.515625,0.515625,0.513393,0.513393,0.40774699999999997,9632000,58.41213073601626,0,0
93,4/28/1981,0.506696,0.506696,0.504464,0.504464,0.400656,8047200,58.8955520002108,0,0
94,4/29/1981,0.5,0.5,0.49776800000000004,0.49776800000000004,0.395337,3410400,59.66001773179322,0,0
95,4/30/1981,0.506696,0.511161,0.506696,0.506696,0.402429,3152800,58.838219073354985,0,0
96,5/1/1981,0.506696,0.511161,0.506696,0.506696,0.402429,4138400,58.838219073354985,0,0
97,5/4/1981,0.506696,0.506696,0.504464,0.504464,0.400656,3612000,60.26810629920101,0,0
98,5/5/1981,0.504464,0.504464,0.502232,0.502232,0.398883,4384800,61.65790183038826,0,0
99,5/6/1981,0.491071,0.491071,0.488839,0.488839,0.388246,4737600,61.13133707199183,0,0
100,5/7/1981,0.495536,0.49776800000000004,0.495536,0.495536,0.39356399999999997,2340800,60.121154256798825,0,0
101,5/8/1981,0.5,0.502232,0.5,0.5,0.39711,1976800,58.863593205378685,0,0
102,5/11/1981,0.491071,0.491071,0.488839,0.488839,0.388246,2984800,58.732224715850265,0,0
103,5/12/1981,0.488839,0.495536,0.488839,0.488839,0.388246,1064000,58.732224715850265,0,0
104,5/13/1981,0.488839,0.493304,0.48660699999999996,0.48660699999999996,0.386473,1226400,60.116240720446996,0,0
105,5/14/1981,0.484375,0.484375,0.479911,0.479911,0.381155,1232000,60.63656016612806,0,0
106,5/15/1981,0.491071,0.49776800000000004,0.491071,0.491071,0.390019,1226400,60.26399162871868,0,0
107,5/18/1981,0.5,0.504464,0.5,0.5,0.39711,1041600,59.60705009362874,0,0
108,5/19/1981,0.493304,0.493304,0.491071,0.491071,0.390019,6356000,59.733298095495705,0,0
109,5/20/1981,0.506696,0.511161,0.506696,0.506696,0.402429,3320800,59.93683533517424,0,0
110,5/21/1981,0.535714,0.537946,0.535714,0.535714,0.425475,8052800,61.57703316015098,0,0
111,5/22/1981,0.560268,0.564732,0.560268,0.560268,0.44497600000000004,7856800,62.39105096173488,0,0
112,5/26/1981,0.560268,0.560268,0.558036,0.558036,0.44320299999999996,21336000,63.74754246484479,0,0
113,5/27/1981,0.589286,0.591518,0.589286,0.589286,0.46802299999999997,37374400,64.96198742749388,0,0
114,5/28/1981,0.589286,0.591518,0.589286,0.589286,0.46802299999999997,18496800,64.96198742749388,0,0
115,5/29/1981,0.591518,0.59375,0.591518,0.591518,0.46979499999999996,14845600,63.457867579704356,0,0
116,6/1/1981,0.591518,0.59375,0.591518,0.591518,0.46979499999999996,12812800,63.457867579704356,0,0
117,6/2/1981,0.564732,0.564732,0.5625,0.5625,0.44674899999999995,10108000,60.742216999277495,0,0
118,6/3/1981,0.5625,0.566964,0.5625,0.5625,0.44674899999999995,9861600,60.742216999277495,0,0
119,6/4/1981,0.573661,0.575893,0.573661,0.573661,0.455613,14016800,60.1049671954585,0,0
